25,講,こう
26,公,こう
44,港,こう
63,校,こう
105,高,こう
2,業,ごう
2,合,ごう
2,ゴウ,ごう
3,剛,ごう
3,豪,ごう
9,郷,ごう
92,号,ごう
1,沃え,こえ
4,肥え,こえ
26,越え,こえ
107,超え,こえ
174,声,こえ
1,洪,こー
4,凍,こお
5,ゴー,ごー
4,コカ,こか
3,焦が,こが
8,古賀,こが
1,呼気,こき
2,小木,こぎ
1,ゴキ,ごき
1,語気,ごき
1,刻,こく
1,告,こく
1,谷,こく
1,コク,こく
2,酷,こく
3,石,こく
281,国,こく
2,苔,こけ
2,コケ,こけ
2,ココ,ここ
20,個々,ここ
5,ゴコ,ごこ
1,五々,ごご
155,午後,ごご
1,誤差,ごさ
1,御座,ござ
1,ござー,ござ
1,コシ,こし
1,古紙,こし
35,腰,こし
1,古事,こじ
1,固辞,こじ
3,誇示,こじ
2,越し,ごし
1,ゴゼ,ごぜ
15,コツ,こつ
7,ゴッ,ごっ
3,小手,こて
1,後手,ごて
1,異,こと
1,糊塗,こと
2,コト,こと
3,言,こと
5,古都,こと
199,事,こと
1,琴,ごと
3,事,ごと
3,如,ごと
10,毎,ごと
10,粉,こな
1,コネ,こね
1,コノ,この
2,此,この
11,好,この
1,古馬,こば
13,拒,こば
1,媚び,こび
2,昆布,こぶ
3,駒,こま
3,コマ,こま
46,困,こま
1,ゴマ,ごま
1,コミ,こみ
12,込み,こみ
3,五味,ごみ
11,ゴミ,ごみ
6,コム,こむ
4,ゴム,ごむ
8,コメ,こめ
31,込め,こめ
47,※,こめ
57,米,こめ
1,籠も,こも
1,菰,ごも
13,小屋,ごや
1,凝ら,こら
3,コラ,こら
1,懲り,こり
1,是,これ
1,之,これ
5,コレ,これ
6,転,ころ
51,殺,ころ
68,頃,ころ
1,語呂,ごろ
6,ゴロ,ごろ
14,頃,ごろ
1,恐,こわ
17,壊,こわ
39,怖,こわ
1,痕,こん
1,紺,こん
2,婚,こん
37,今,こん
1,言,ごん
1,サア,さあ
2,菜,さい
2,骰,さい
5,差異,さい
18,才,さい
20,裁,さい
38,債,さい
58,祭,さい
75,最,さい
150,際,さい
186,再,さい
412,歳,さい
7,在,ざい
16,財,ざい
29,罪,ざい
55,材,ざい
84,剤,ざい
1,冴え,さえ
1,竿,さお
7,坂,さか
1,サガ,さが
3,捜,さが
19,佐賀,さが
24,下が,さが
55,探,さが
4,崎,さき
190,先,さき
38,詐欺,さぎ
4,昨,さく
48,作,さく
82,策,さく
21,探,さぐ
2,裂け,さけ
5,鮭,さけ
24,叫,さけ
37,酒,さけ
45,避け,さけ
1,提げ,さげ
42,下げ,さげ
1,刺さ,ささ
2,笹,ささ
2,ササ,ささ
1,佐々,さざ
1,サシ,さし
1,刺し,さし
1,匙,さじ
1,刺し,ざし
23,誘,さそ
4,沙汰,さた
2,幸,さち
5,察,さっ
12,札,さつ
17,冊,さつ
1,雑,ざつ
2,諭,さと
3,悟,さと
1,佐渡,さど
4,里,ざと
2,左派,さは
2,サバ,さば
3,裁,さば
2,錆,さび
2,サビ,さび
6,錆び,さび
1,左保,さほ
1,早穂,さほ
2,サボ,さぼ
3,覚ま,さま
4,サマ,さま
105,様,さま
2,サム,さむ
2,作務,さむ
32,寒,さむ
1,サメ,さめ
3,冷め,さめ
4,覚め,さめ
1,鞘,さや
1,サヤ,さや
3,晒,さら
25,皿,さら
2,去り,さり
1,サル,さる
1,笊,ざる
1,サロ,さろ
1,障,さわ
1,茶話,さわ
10,騒,さわ
14,触,さわ
1,参,さん
10,酸,さん
16,山,さん
37,サン,さん
41,産,さん
1403,三,さん
4,残,ざん
1,試合,しあ
1,シイ,しい
2,恣意,しい
13,強い,しい
14,シー,しー
1,事彙,じい
1,自慰,じい
1,辞意,じい
40,侍医,じい
1,之宇,しう
1,ジウ,じう
15,塩,しお
1,鹿,しか
2,市価,しか
3,叱,しか
10,シカ,しか
11,歯科,しか
1,詩画,しが
4,志賀,しが
11,滋賀,しが
2,直,じか
2,時価,じか
7,自家,じか
2,自画,じが
1,敷,しき
1,敷き,しき
2,紙器,しき
4,仕切,しき
4,四季,しき
4,士気,しき
30,指揮,しき
103,式,しき
1,シギ,しぎ
1,仕儀,しぎ
11,市議,しぎ
1,自機,じき
